,timesteps,ep_reward,num_updates,episodes
0,200,-11.479998660088441,0,0
1,200,-11.399995174410277,0,1
2,164,-8.039997212888613,0,2
3,200,-10.719998240472043,0,3
4,200,-11.079998991490116,0,4
5,200,-10.959999570847003,0,5
6,200,-11.159995999338106,0,6
7,200,-11.439996185304507,0,7
8,200,-11.239995512964574,0,8
9,190,-9.279995920660529,0,9
10,104,-4.439998321534429,1,10
11,200,-10.199997575284652,0,11
12,200,-8.679997100832098,0,12
13,200,-10.319997673036164,0,13
14,174,-8.399997999669718,0,14
15,200,-7.319998016418433,0,15
16,200,-9.399996869566152,0,16
17,159,-6.839997622968698,0,17
18,200,-9.51999633074018,0,18
19,200,-10.03999649763309,0,19
20,200,-11.479998829365714,0,20
21,56,-2.03999938011241,1,21
22,135,-5.759998548032316,0,22
23,200,-7.400001499747442,0,23
24,90,-3.8399984645855407,0,24
25,200,-8.759996960165669,0,25
26,200,-9.27999852419042,0,26
27,200,-8.839997334482312,0,27
28,200,-7.199998681626941,0,28
29,200,-8.079997553827733,0,29
30,106,-3.9199992680560882,0,30
31,200,-8.95999697208632,0,31
32,193,-6.40000595132373,0,32
33,200,-8.000001735853052,1,33
34,200,-6.6000056988097375,0,34
35,200,-7.160013466403009,0,35
36,200,-6.800001287911202,0,36
37,51,-1.5599996948248251,0,37
38,120,-4.919998373986816,0,38
39,200,-6.519998991927178,0,39
40,51,-1.7599993896491528,0,40
41,100,-3.8799989628804155,0,41
42,200,-5.640010214750548,0,42
43,200,-8.159998829366584,0,43
44,137,-5.679997863771268,0,44
45,167,-5.55999883191439,0,45
46,99,-3.6799991250049766,1,46
47,200,-5.160002645120632,0,47
48,200,-6.720005188573234,0,48
49,54,-2.039999239445521,0,49
50,200,-6.079998834759582,0,50
51,108,-2.479999544911297,0,51
52,43,-1.359999852180978,0,52
53,200,-5.240006459817824,0,53
54,45,-1.3999995422370068,0,54
55,137,-3.7599992874403405,0,55
56,178,-4.640014039047347,0,56
57,200,-5.600010224266336,0,57
58,178,-4.960006001873599,0,58
59,34,-0.7600000000004239,0,59
60,45,-1.3599996948247886,0,60
61,71,-2.159999542237262,0,61
62,192,-3.5600032058649975,1,62
63,158,-3.3599996956178444,0,63
64,38,-1.1199995422370068,0,64
65,34,-0.7999998474126421,0,65
66,200,-3.9200035157880504,0,66
67,37,-0.8400000000004602,0,67
68,200,-3.6400033585366343,0,68
69,27,-0.4800000000004231,0,69
70,200,-3.1200035614647734,0,70
71,118,-2.8800032046783954,0,71
72,94,-3.639998879433993,0,72
73,46,-1.5599993896491529,0,73
74,39,-1.3199992370613711,0,74
75,145,-2.8799996861020563,0,75
76,33,-0.759999847412642,0,76
77,31,-0.6800000023846455,0,77
78,200,-3.9199994317199263,0,78
79,200,-4.840010224656655,0,79
80,45,-1.5599992370613713,1,80
81,200,-2.240007174009153,0,81
