,timesteps,ep_reward,num_updates,episodes
0,200,-614.8154649196536,0,0
1,200,-575.2843890753938,0,1
2,164,-457.8751851993783,0,2
3,200,-600.9119718483038,0,3
4,200,-559.7841669431821,0,4
5,200,-558.6275674565665,0,5
6,200,-506.94207067820423,0,6
7,200,-505.4194116482235,0,7
8,200,-447.4632228726705,0,8
9,190,-474.7117780920797,0,9
10,74,-180.45465045603228,1,10
11,200,-409.78456460954663,0,11
12,77,-186.7764357630073,0,12
13,200,-489.8399227962952,0,13
14,200,-410.5980948713638,0,14
15,200,-649.1859160559056,0,15
16,121,-293.95616156544,0,16
17,200,-575.4381433096019,0,17
18,88,-145.62352915000895,0,18
19,200,-562.6275779661961,0,19
20,116,-277.60521220538726,0,20
21,92,-256.5435498852509,0,21
22,200,-556.5960932240665,0,22
23,200,-314.1789518688075,1,23
24,200,-487.2065937698259,0,24
25,73,-144.25469011912904,0,25
26,200,-349.14545762086675,0,26
27,65,-133.59002451886687,0,27
28,189,-347.0022352434582,0,28
29,103,-177.79737523083227,0,29
30,59,-75.0918369860011,0,30
31,179,-220.95552006600442,0,31
32,90,-176.8276948856414,0,32
33,200,-364.9327808203922,0,33
34,200,-332.45382503365755,0,34
35,200,-316.3068702938348,0,35
36,170,-352.8245018001222,1,36
37,200,-328.37300464978983,0,37
38,60,-110.13336038688088,0,38
39,26,-48.90615224233771,0,39
40,200,-393.12639584964427,0,40
41,188,-354.48488041484586,0,41
42,30,-50.191369329216016,0,42
43,44,-86.98347710013066,0,43
44,200,-365.2692094958636,0,44
45,171,-265.70050812821967,0,45
46,200,-368.22557355329104,0,46
47,192,-428.58750919421533,0,47
48,200,-415.21367356708964,0,48
49,200,-383.4467564561434,0,49
50,42,-86.07571523345126,0,50
51,50,-106.03968718663572,1,51
52,200,-290.9793425043101,0,52
53,200,-380.90127807334886,0,53
54,88,-146.26076597045986,0,54
55,200,-374.31056639310117,0,55
56,200,-365.43795012119296,0,56
57,52,-112.23468740269959,0,57
58,163,-313.25475469543545,0,58
59,200,-375.754987046344,0,59
60,38,-86.85016943771286,0,60
61,200,-386.430691578955,0,61
62,200,-344.33402245146567,0,62
63,30,-51.1704810143113,0,63
64,200,-370.97124329308883,1,64
65,200,-338.07590567400774,0,65
66,200,-345.17560865504765,0,66
67,200,-373.8937231850993,0,67
68,32,-55.845033678141355,0,68
69,47,-93.79893660032761,0,69
70,38,-88.02081966105446,0,70
71,25,-50.673370527011876,0,71
72,24,-44.60754933540263,0,72
73,22,-37.982776648685615,0,73
74,28,-58.2335119777195,0,74
75,32,-52.92731698116572,0,75
76,200,-362.781361411962,0,76
77,32,-54.66997388640239,0,77
78,37,-66.2984918417832,0,78
79,33,-59.0574268941674,0,79
80,120,-265.98797763951205,0,80
81,36,-61.32543996107729,0,81
82,200,-344.2759130360615,0,82
83,55,-135.7999210453654,0,83
84,18,-31.029294214471133,0,84
85,200,-366.5294413849493,0,85
86,24,-49.513042188942656,0,86
87,198,-336.70433274521827,1,87
88,28,-52.96349762197769,0,88
89,200,-379.905431210176,0,89
90,200,-396.30053743552133,0,90
